2021-12-15 12:34:03.795 [TID: N/A] INFO  [main] o.a.d.common.logger.LoggerFactory [?:?]: - using logger: org.apache.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
2021-12-15 12:34:03.805 [TID: N/A] INFO  [main] o.a.d.s.b.c.e.WelcomeLogoApplicationListener [onApplicationEvent:63]: - 

 :: Dubbo Spring Boot (v2.7.8) : https://github.com/apache/dubbo-spring-boot-project
 :: Dubbo (v2.7.12) : https://github.com/apache/dubbo
 :: Discuss group : dev@dubbo.apache.org

2021-12-15 12:34:03.868 [TID: N/A] INFO  [main] o.a.d.s.b.c.e.OverrideDubboConfigApplicationListener [onApplicationEvent:68]: - Dubbo Config was overridden by externalized configuration {dubbo.application.name=ruyuan-eshop-customer, dubbo.application.qos-enable=false, dubbo.config.multiple=true}
2021-12-15 12:34:04.853 [TID: N/A] INFO  [pool-1-thread-1] o.a.d.s.b.c.e.AwaitingNonWebApplicationListener [lambda$null$0:159]: -  [Dubbo] Current Spring Boot Application is await...
2021-12-15 12:34:04.931 [TID: N/A] INFO  [main] o.a.d.s.b.c.e.OverrideDubboConfigApplicationListener [onApplicationEvent:68]: - Dubbo Config was overridden by externalized configuration {dubbo.application.name=ruyuan-eshop-customer, dubbo.application.qos-enable=false, dubbo.cloud.subscribed-services=ruyuan-eshop-customer,ruyuan-eshop-order, dubbo.config.multiple=true, dubbo.consumer.check=false, dubbo.protocol.name=dubbo, dubbo.protocol.port=28091, dubbo.provider.actives=200, dubbo.provider.threads=800, dubbo.registry.address=spring-cloud://localhost, dubbo.scan.base-packages=com.ruyuan.eshop.customer.api}
2021-12-15 12:34:05.063 [TID: N/A] WARN  [main] c.a.c.n.c.NacosPropertySourceBuilder [loadNacosData:87]: - Ignore the empty nacos configuration and get it based on dataId[ruyuan-eshop-customer] & group[DEFAULT_GROUP]
2021-12-15 12:34:05.100 [TID: N/A] WARN  [main] c.a.c.n.c.NacosPropertySourceBuilder [loadNacosData:87]: - Ignore the empty nacos configuration and get it based on dataId[ruyuan-eshop-customer.yaml] & group[DEFAULT_GROUP]
2021-12-15 12:34:05.140 [TID: N/A] INFO  [main] o.s.c.b.c.PropertySourceBootstrapConfiguration [initialize:112]: - Located property source: [BootstrapPropertySource {name='bootstrapProperties-ruyuan-eshop-customer-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-ruyuan-eshop-customer.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-ruyuan-eshop-customer,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-ruyuan-eshop-common-dev.yaml,DEFAULT_GROUP'}]
2021-12-15 12:34:05.146 [TID: N/A] INFO  [main] c.r.e.customer.CustomerApplication [logStartupProfileInfo:655]: - The following profiles are active: dev
2021-12-15 12:34:05.913 [TID: N/A] INFO  [main] c.alibaba.spring.util.BeanRegistrar [registerInfrastructureBean:67]: - The Infrastructure bean definition [Root bean: class [org.apache.dubbo.config.spring.beans.factory.annotation.ReferenceAnnotationBeanPostProcessor]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=nullwith name [referenceAnnotationBeanPostProcessor] has been registered.
2021-12-15 12:34:05.913 [TID: N/A] INFO  [main] c.alibaba.spring.util.BeanRegistrar [registerInfrastructureBean:67]: - The Infrastructure bean definition [Root bean: class [org.apache.dubbo.config.spring.beans.factory.annotation.DubboConfigAliasPostProcessor]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=nullwith name [dubboConfigAliasPostProcessor] has been registered.
